Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Victim Category,Sources_1,Sources_2,Sources_3,Who_attributed,APT_Family
Targeting of U.S. energy and other critical infrastructure sectors,3/15/2018,Believed to be linked to the Crouching Yeti threat actor,"A threat actor that the U.S. government believes to be sponsored by the Russian government, targets entities in the U.S. energy, nuclear power, water, aviation, and critical manufacturing sectors. According to the Department of Homeland Security, this activity has been ongoing since at least 2014.",Sanctions   https://home.treasury.gov/news/press-releases/sm0410,United States,Russian Federation,Infrastructure Espionage,"Private sector, Government",https://www.us-cert.gov/ncas/alerts/TA18-074A,https://www.wsj.com/articles/russian-hackers-reach-u-s-utility-control-rooms-homeland-security-officials-say-1532388110,,"USCert, DHS, FBI",
Compromise of the U.S. Anti-Doping Agency,10/4/2018,Believed to be the work of??APT 28,"A threat actor compromised the U.S. Anti-Doping Agency. Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department.",Criminal charges   https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,U.S. Anti-Doping Agency,Russian Federation,Doxing,Civil society,https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,https://www.gov.uk/government/news/uk-exposes-russian-cyber-attacks,https://www.canada.ca/en/global-affairs/news/2018/10/canada-identifies-malicious-cyber-activity-by-russia.html,"DoJ, Canadian government, United Kingdom government",APT 28
Targeting of consulates and embassies in Eastern Europe,1/9/2018,Believed to be the work of Turla,A threat actor targeted consulates and embassies in Eastern Europe for the purpose of espionage.,,,Russian Federation,Political Espionage,Government,https://www.welivesecurity.com/wp-content/uploads/2018/01/ESET_Turla_Mosquito.pdf,,,ESET,Turla
Mythic Leopard,5/18/2018,Also known as Transparent Tribe and C-Major,"This threat actor uses social engineering and spear phishing to target military and defense organizations in India, for the purpose of espionage.",,India,Pakistan,Military Espionage,"Government, Private sector",https://www.crowdstrike.com/blog/adversary-of-the-month-for-may/,,,CrowdStrike,APT 36
Dymalloy,6/14/2018,Believed to be linked to Crouching Yeti,"This threat actor targets industrial control systems in Turkey, Europe, and North America.",,"Turkey,",Unknown,Infrastructure Espionage,Private sector,https://dragos.com/blog/20180614Dymalloy.html,,,Dragos,Crouching Yeti
Compromise of Ukrainian government,11/20/2018,Believed to be the work of Gamaredon.,A Russian actor tied to Russia???s Federal Security Service (FSB) targeted Ukrainian government agencies with a backdoor attacker called Pterodo before and during Russia???s seizure of Ukrainian vessels.,,Ukraine,Russian Federation,Military Espionage,Government,https://www.defenseone.com/technology/2018/12/russia-launched-cyber-attacks-against-ukraine-ship-seizures-firm-says/153375/,https://www.scmagazine.com/home/security-news/gamaredon-like-fancy-bear-and-cozy-bear-steps-up-cyberattacks-against-ukraine-others/,,Stealthcare,Gamaredon
Targeting of U.S. defense contractors,9/6/2018,Believed to be the work of Lazarus Group,"A threat actor targeted the networks of Lockheed Martin, a U.S. defense contractor. It is one of the developers of the Terminal High Altitude Area Defense (THAAD) system installed in South Korea.",Criminal charges   https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,United States,Korea (Democratic People's Republic of),Military Espionage,Private sector,https://www.justice.gov/opa/pr/north-korean-regime-backed-programmer-charged-conspiracy-conduct-multiple-cyber-attacks-and,,,DoJ,Lazarus Group
Compromise of South Korean resettlement agency,12/28/2018,Suspected to be the work of North Korean authorities.,The personal information of nearly one thousand North Koreans who defected to South Korea was leaked after unknown hackers gained access to the database of South Korea???s resettlement agency.,,South Korea,Korea (Democratic People's Republic of),Doxing,"Government, Civil society",https://www.nytimes.com/2018/12/28/world/asia/north-korea-defectors-hack.html,https://www.bbc.com/news/world-asia-46698646,https://www.reuters.com/article/us-northkorea-southkorea/mystery-hacker-steals-data-on-1000-north-korean-defectors-in-south-idUSKCN1OR0CS,Unknown,
Targeting of individuals of interest to the government of Lebanon,1/18/2018,,"A threat actor used a tool, Dark Caracal, to target military personnel, activists, journalists, and lawyers for espionage purposes.",,"United States, Canada, Germany, Lebanon, France",Lebanon,Civil Espionage,"Military, Civil society",https://www.eff.org/press/releases/eff-and-lookout-uncover-new-malware-espionage-campaign-infecting-thousands-around,https://info.lookout.com/rs/051-ESQ-475/images/Lookout_Dark-Caracal_srr_20180118_us_v.1.0.pdf,,"Electronic Frontier Foundation, Lookout",
Compromise of a diplomatic entity in Qatar,6/7/2018,,A threat actor uses a zero-day vulnerability in Adobe Flash software to compromise a diplomatic target in Qatar.,,Qatar,Unknown,Political Espionage,Government,https://www.cyberscoop.com/adobe-flash-zero-day-qatar/,http://blogs.360.cn/blog/cve-2018-5002-en/,https://www.icebrg.io/blog/adobe-flash-zero-day-targeted-attack,"Qihoo 360, ClearSky
Web results

Qihoo 360(Chinese private firm)",APT 34
Compromise of the Court of Arbitration for Sport,10/4/2018,Believed to be the work of??APT 28,"A threat actor compromised the Court of Arbitration for Sport. Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted by the U.S. Justice Department.",,Court of Arbitration for Sport,Russian Federation,Doxing,Civil society,https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,,,DoJ,APT 28
Jiangsu Province Ministry of State Security (JSSD),11/5/2018,Linked to Turbine Panda and China's Ministry of State Security,"This threat actor, headquartered in Nanjing, China, is a provincial foreign intelligence arm of China's Ministry of State Security. Its activities include domestic counterintelligence, nonmilitary foreign intelligence, and political and domestic security. From at least January 2010, this threat actor has targeted U.S. and European commercial airliners for the purpose of stealing trade secrets. Several intelligence officers have been charged and indicted by the U.S. Department of Justice.",,,China,Commercial Espionage,Private sector,https://www.justice.gov/opa/pr/chinese-intelligence-officers-and-their-recruited-hackers-and-insiders-conspired-steal,https://www.csoonline.com/article/3445230/china-supported-c919-airliner-development-through-cyberespionage.html,,"DoJ, CrowdStrike",APT 26
Mustang Panda,6/15/2018,Also known as Bronze President.,This threat actor targets nongovernmental organizations using Mongolian-themed lures for espionage purposes.,,United States,China,Espionage,Civil society,https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-june-mustang-panda/,,,CrowdStrike,
Targeting of a chemical plant in Ukraine,7/11/2018,Believed to be the work of the same threat actors behind the alleged Russian compromise of networking equipment,A threat actor used a tool called VPNFilter to target a chemical plant in eastern Ukraine that provides chlorine to water- and sewage-treatment plants in that country. Ukraine???s intelligence service claims to have thwarted the incident.,,Ukraine,Russian Federation,Sabotage,Private sector,https://en.interfax.com.ua/news/general/517337.html,https://www.theregister.co.uk/2018/07/13/ukraine_vpnfilter_attack/,https://dragos.com/blog/20180716UkraineChemicalPlantEvent.html,SBU,BlackEnergy
Targeting of Mexican journalists??? mobile devices,11/27/2018,Believed to be the work of the Mexican government.,The Mexican government is suspected of using spyware to infiltrate journalists??? messages.,,Mexican journalists,Mexico,Civil Espionage,Civil society,https://www.nytimes.com/2018/11/27/world/americas/mexico-spyware-journalist.html,https://www.nytimes.com/2017/06/20/world/americas/mexico-spyware-surveillance-journalists-activists-investigation.html?module=inline,https://www.timesofisrael.com/israeli-spyware-said-used-by-mexican-government-to-target-dissident-journalists/,CitizenLab,malware by NSO Group
Targeting of the personal email accounts of U.S. Senators and staff,9/19/2018,,"A threat actor targeted the personal email accounts of U.S. senators and staffers, according to Senator Ron Wyden (D-OR) and an unnamed technology company.",,United States,Unknown,Political Espionage,Government,https://apnews.com/7f101802563c425c825e0843ca3fa49b,https://www.documentcloud.org/documents/4906721-Wyden-cybersecurity-letter-9-19-18.html,,N/A,
Iron Tiger,2/1/2018,,"This threat actor targets governments as well as technology, education, and telecommunications companies primarily in Asia and the United States, for the purpose of espionage.",,"United States, Canada, Australia, Japan, China, Republic of Korea, Taiwan, Thailand, Russia, India, Israel, Iran",Unknown,Espionage,"Government, Private sector",https://labs.bitdefender.com/2018/02/operation-pzchao-a-possible-return-of-the-iron-tiger-apt/,,,N/A,
Targeting of financial and chemical organizations in Europe,6/19/2018,Believed to be the work of the same actors behind the compromise of the 2018 Winter Olympics,"A threat actor uses a tool, called Olympics Destroyer, to target financial organizations in Russia and biological and chemical laboratories in Ukraine and other countries in Europe.",,"Russia, France, The Netherlands, Switzerland, Germany, Ukraine",Russian Federation,Espionage,Private sector,https://securelist.com/olympic-destroyer-is-still-alive/86169/,,,Kaspersky,
Compromise of the Canadian Centre for Ethics in Sport,10/4/2018,Believed to be the work of??APT 28,"A threat actor compromised the Canadian Centre for Ethics in Sport. Seven of the individuals alleged to be behind this incident, believed to be Russian military intelligence (known as GRU), were indicted??by the U.S. Justice Department. Canada issued a statement attributing the incident to Russian military intelligence.",Denouncement   https://www.canada.ca/en/global-affairs/news/2018/10/canada-identifies-malicious-cyber-activity-by-russia.html,Canadian Centre for Ethics in Sport,Russian Federation,Doxing,Civil society,https://www.canada.ca/en/global-affairs/news/2018/10/canada-identifies-malicious-cyber-activity-by-russia.html,https://www.justice.gov/opa/pr/us-charges-russian-gru-officers-international-hacking-and-related-influence-and,,"Canadian government, DoJ",ATP 28
Compromise of Australian National University,7/6/2018,,A threat actor has compromised the network of Australian National University for espionage purposes.,,Australia,China,Military Espionage,Civil society,https://www.smh.com.au/politics/federal/chinese-hackers-breach-anu-putting-national-security-at-risk-20180706-p4zq0q.html,http://www.abc.net.au/news/2018-07-06/chinese-hackers-infilitrate-anu-it-systems/9951210,https://www.cyberscoop.com/chinese-linked-hackers-breached-top-australian-defense-university-report/,ACSC,
